Station	Time (YYYY-MM-DDTHH:MM:SS)	Lon (deg. east)	Lat (deg. south)	Depth (m)	Temperature (deg. celcius)	Salinity	Oxygen (micromol L-1)	Fluo (mg m-3)	bbp (m-1)	cp (m-1)	Fluo:bbp	Fluo:cp	bbp:cp	POC (mmol m-3)	PON (mmol m-3)	Station_bis
O22_250	2016-10-08T14:18:50	58.92968	-28.99994	249.829	14.274	35.383	215.613	0.002	3.018E-04	1.530E-02	5.219	0.103	1.972E-02	0.90	0.13	O22_21
O22_100	2016-10-08T14:29:21	58.92968	-28.99994	99.651	18.124	35.723	219.825	0.21	0.000669	0.04158	313.901	5.051	1.609E-02	1.51	0.26	O22_22
O22_10	2016-10-08T14:43:07	58.92968	-28.99994	4.196	20.119	35.709	223.951	0.093	8.298E-04	5.706E-02	112.079	1.630	1.454E-02	2.41	0.26	O22_24
O23_250	2016-10-10T00:52:28	61.99974	-34.99982	250.531	13.635	35.303	224.192	0.001	3.168E-04	1.534E-02	3.410	0.070	2.065E-02	0.75	0.11	O23_21
O23_100	2016-10-10T01:00:57	61.99974	-34.99982	101.092	15.479	35.558	235.387	0.152	5.772E-04	3.529E-02	263.994	4.317	1.635E-02	1.92	0.27	O23_22
O23_10	2016-10-10T01:12:52	61.99975	-34.99982	5.581	16.096	35.626	243.197	0.323	1.411E-03	9.692E-02	228.963	3.334	1.456E-02	4.37	0.58	O23_24
O24_250	2016-10-10T22:14:05	63.65226	-38.00112	250.079	14.015	35.394	239.498	nan	nan	1.553E-02	nan	nan	nan	0.86	0.14	O24_21
O24_100	2016-10-10T22:22:39	63.65222	-38.0011	99.709	14.246	35.421	244.236	nan	nan	2.308E-02	nan	nan	nan	1.62	0.23	O24_22
O24_10	2016-10-10T22:33:13	63.65218	-38.00112	10.466	14.606	35.475	248.608	nan	nan	6.825E-02	nan	nan	nan	3.72	0.57	O24_24
O25_250	2016-10-12T12:05:36	67.7731	-45.00032	250.901	6.435	34.186	254.409	0.005	3.087E-04	1.553E-02	16.183	0.322	1.987E-02	1.05	0.11	O25_21
O25_100	2016-10-12T12:16:33	67.7733	-45.00028	103.138	6.877	33.936	290.957	0.309	1.449E-03	7.858E-02	213.231	3.933	1.845E-02	3.35	0.49	O25_22
O25_10	2016-10-12T12:29:20	67.77328	-45.00026	4.531	7.253	33.938	293.897	0.684	1.936E-03	1.501E-01	353.375	4.556	1.289E-02	7.45	1.09	O25_24
O12_250	2016-10-25T03:30:16	72.22136	-46.99924	248.076	2.746	33.931	292.984	0.001	3.171E-04	1.492E-02	3.405	0.072	2.126E-02	1.01	0.22	O12_21
O12_100	2016-10-25T03:38:28	72.22134	-46.99924	99.196	4.026	33.785	309.608	0.127	8.784E-04	5.015E-02	144.922	2.538	1.752E-02	2.63	0.40	O12_10
O12_10	2016-10-25T03:48:32	72.22136	-46.99926	3.577	4.597	33.749	313.624	0.334	1.537E-03	1.158E-01	217.369	2.885	1.327E-02	4.93	0.73	O12_12
TNS06_250	2016-10-16T00:44:15	72.2786	-48.77906	247.832	1.980	34.094	233.115	0.004	3.354E-04	1.574E-02	11.271	0.240	2.131E-02	1.33	0.18	TNS06_21
TNS06_100	2016-10-16T00:53:05	72.2785	-48.77908	98.591	2.631	33.864	265.551	0.207	9.666E-04	7.447E-02	213.922	2.777	1.298E-02	3.15	0.51	TNS06_22
TNS06_10	2016-10-16T01:03:22	72.27856	-48.77908	4.599	2.922	33.850	268.189	0.652	1.717E-03	1.629E-01	379.443	4.000	1.054E-02	7.45	1.13	TNS06_24
TNS08_250	2016-10-24T10:37:04	72.24154	-49.46322	249.8	2.038	34.223	225.798	0.005	3.266E-04	1.512E-02	16.260	0.351	2.159E-02	0.99	0.19	TNS08_21
TNS08_100	2016-10-24T10:45:18	72.24156	-49.4632	100.239	1.917	33.925	320.343	0.081	5.781E-04	3.036E-02	139.659	2.659	1.904E-02	1.93	0.34	TNS08_22
TNS08_10	2016-10-24T10:56:29	72.24158	-49.46318	10.408	2.308	33.908	333.704	0.739	1.989E-03	1.638E-01	371.696	4.513	1.214E-02	8.73	1.27	TNS08_24
A3_1_250	2016-10-18T06:38:11	72.05862	-50.63364	249.567	1.969	34.112	256.839	0.004	3.185E-04	1.489E-02	12.152	0.260	2.138E-02	0.92	0.10	A3_1_21
A3_1_100	2016-10-18T06:48:50	72.05864	-50.6336	99.645	1.982	33.927	329.489	0.544	1.300E-03	1.087E-01	418.479	5.002	1.195E-02	5.20	0.80	A3_1_22
A3_1_10	2016-10-18T07:00:22	72.05862	-50.63364	4.355	2.230	33.922	335.322	0.938	1.717E-03	1.475E-01	546.259	6.358	1.164E-02	8.07	1.29	A3_1_24
A3_2_250	2016-10-24T02:55:13	72.05532	-50.63428	249.596	1.910	34.079	270.867	0.006	3.107E-04	1.499E-02	19.696	0.408	2.073E-02	1.28	0.24	A3_2_21
A3_2_100	2016-10-24T03:03:07	72.05461	-50.63494	99.866	2.057	33.922	332.346	0.704	1.869E-03	1.496E-01	376.786	4.707	1.249E-02	8.14	1.27	A3_2_22
A3_2_10	2016-10-24T03:10:18	72.05312	-50.63527	19.048	2.055	33.922	333.010	0.845	1.870E-03	1.470E-01	451.897	5.749	1.272E-02	7.95	1.25	A3_2_24
KERFIX_250	2016-10-18T23:07:20	68.37746	-50.68273	250.106	2.088	33.988	295.017	0.011	3.188E-04	1.600E-02	33.739	0.672	1.992E-02	0.78	0.09	KERFIX_21
KERFIX_100	2016-10-18T23:15:23	68.37744	-50.68274	99.857	2.290	33.912	324.136	0.278	1.215E-03	7.432E-02	228.821	3.741	1.635E-02	3.21	0.37	KERFIX_22
KERFIX_10	2016-10-18T23:25:38	68.37742	-50.68271	5.205	2.374	33.908	325.527	0.304	1.418E-03	8.542E-02	214.428	3.559	1.660E-02	3.52	0.54	KERFIX_24
FS_250	2016-10-19T10:30:49	66.99968	-52.5005	248.145	2.078	34.126	254.869	0.003	3.075E-04	1.515E-02	10.537	0.214	2.030E-02	0.67	0.11	FS_21
FS_100	2016-10-19T10:38:17	66.99968	-52.5005	100.056	1.913	33.947	323.552	0.218	9.733E-04	6.093E-02	223.857	3.576	1.598E-02	2.29	0.35	FS_22
FS_10	2016-10-19T10:50:36	66.99966	-52.5005	5.032	1.996	33.943	326.207	0.324	1.264E-03	8.599E-02	256.419	3.768	1.469E-02	3.06	0.46	FS_24
O11_250	2016-10-20T18:15:29	63.00086	-56.50088	248.163	1.808	34.345	207.686	0.004	2.995E-04	1.527E-02	14.873	0.292	1.962E-02	0.74	0.08	O11_21
O11_100	2016-10-20T18:23:45	63.00084	-56.50092	99.943	0.343	33.995	332.569	0.354	1.052E-03	8.031E-02	336.394	4.408	1.310E-02	3.22	0.50	O11_22
O11_10	2016-10-20T18:50:22	63.00092	-56.5009	4.92	1.005	33.991	329.784	0.316	1.196E-03	8.990E-02	263.873	3.512	1.331E-02	3.23	0.54	O11_24
SI_250	2016-10-21T07:14:04	61.49853	-58.4992	250.778	1.908	34.501	173.807	0.010	3.263E-04	1.541E-02	30.206	0.639	2.117E-02	0.50	0.18	SI_21
SI_100	2016-10-21T07:22:41	61.49738	-58.49962	100.954	-1.114	33.882	344.021	0.373	9.699E-04	7.236E-02	384.710	5.157	1.340E-02	2.79	0.52	SI_22
SI_10	2016-10-21T07:36:27	61.49476	-58.49908	10.763	-1.121	33.873	347.088	0.378	9.263E-04	7.840E-02	408.073	4.821	1.181E-02	3.84	0.58	SI_24
