Station	Time (YYYY-MM-DDTHH:MM:SS)	Lon (deg. east)	Lat (deg. south)	Depth (m)	Temperature (deg. celcius)	Salinity	Oxygen (micromol L-1)	Fluo (mg m-3)	bbp (m-1)	cp (m-1)	Fluo:bbp	Fluo:cp	bbp:cp	POC (mmol m-3)	PON (mmol m-3)	Station_bis
O22_250	2016-10-08T14:18:50	58.92968	-28.99994	249.829	14.274	35.383	215.613	0.002000	0.000223	0.015300	8.975170	0.130719	0.014565	0.9	0.13	O22_21
O22_100	2016-10-08T14:29:21	58.92968	-28.99994	99.651	18.124	35.723	219.825	0.210000	0.000487	0.041580	430.851424	5.050505	0.011722	1.51	0.26	O22_22
O22_10	2016-10-08T14:43:07	58.92968	-28.99994	4.196	20.119	35.709	223.951	0.093000	0.000620	0.057060	149.907396	1.629863	0.010872	2.41	0.26	O22_24
O23_250	2016-10-10T00:52:28	61.99974	-34.99982	250.531	13.635	35.303	224.192	0.001000	0.000297	0.015340	3.368580	0.065189	0.019352	0.75	0.11	O23_21
O23_100	2016-10-10T01:00:57	61.99974	-34.99982	101.092	15.479	35.558	235.387	0.152000	0.000520	0.035290	292.049902	4.307169	0.014748	1.92	0.27	O23_22
O23_10	2016-10-10T01:12:52	61.99975	-34.99982	5.581	16.096	35.626	243.197	0.323000	0.001049	0.096920	307.995682	3.332645	0.010820	4.37	0.58	O23_24
O24_250	2016-10-10T22:14:05	63.65226	-38.00112	250.079	14.015	35.394	239.498	nan	nan	0.015530	nan	nan	nan	0.86	0.14	O24_21
O24_100	2016-10-10T22:22:39	63.65222	-38.0011	99.709	14.246	35.421	244.236	nan	nan	0.023080	nan	nan	nan	1.62	0.23	O24_22
O24_10	2016-10-10T22:33:13	63.65218	-38.00112	10.466	14.606	35.475	248.608	nan	nan	0.068250	nan	nan	nan	3.72	0.57	O24_24
O25_250	2016-10-12T12:05:36	67.7731	-45.00032	250.901	6.435	34.186	254.409	0.005000	0.000623	0.015530	8.026803	0.321958	0.040110	1.05	0.11	O25_21
O25_100	2016-10-12T12:16:33	67.7733	-45.00028	103.138	6.877	33.936	290.957	0.309000	0.000735	0.078580	420.555787	3.932298	0.009350	3.35	0.49	O25_22
O25_10	2016-10-12T12:29:20	67.77328	-45.00026	4.531	7.253	33.938	293.897	0.684000	0.001720	0.150100	397.657772	4.556962	0.011460	7.45	1.09	O25_24
O12_250	2016-10-25T03:30:16	72.22136	-46.99924	248.076	2.746	33.931	292.984	0.001000	0.000420	0.014920	2.379032	0.067024	0.028173	1.01	0.22	O12_21
O12_100	2016-10-25T03:38:28	72.22134	-46.99924	99.196	4.026	33.785	309.608	0.127000	0.000949	0.050150	133.791244	2.532403	0.018928	2.63	0.4	O12_10
O12_10	2016-10-25T03:48:32	72.22136	-46.99926	3.577	4.597	33.749	313.624	0.334000	0.001358	0.115800	245.920590	2.884283	0.011729	4.93	0.73	O12_12
TNS06_250	2016-10-16T00:44:15	72.2786	-48.77906	247.832	1.98	34.094	233.115	0.004000	0.000776	0.015740	5.157417	0.254130	0.049275	1.33	0.18	TNS06_21
TNS06_100	2016-10-16T00:53:05	72.2785	-48.77908	98.591	2.631	33.864	265.551	0.207000	0.001260	0.074470	164.229537	2.779643	0.016925	3.15	0.51	TNS06_22
TNS06_10	2016-10-16T01:03:22	72.27856	-48.77908	4.599	2.922	33.85	268.189	0.652000	0.001757	0.162900	371.186162	4.002455	0.010783	7.45	1.13	TNS06_24
TNS08_250	2016-10-24T10:37:04	72.24154	-49.46322	249.8	2.038	34.223	225.798	0.005000	0.000554	0.015120	9.022697	0.330688	0.036651	0.99	0.19	TNS08_21
TNS08_100	2016-10-24T10:45:18	72.24156	-49.4632	100.239	1.917	33.925	320.343	0.081000	0.000716	0.030360	113.173382	2.667984	0.023574	1.93	0.34	TNS08_22
TNS08_10	2016-10-24T10:56:29	72.24158	-49.46318	10.408	2.308	33.908	333.704	0.739000	0.001678	0.163800	440.470344	4.511600	0.010243	8.73	1.27	TNS08_24
A3_1_250	2016-10-18T06:38:11	72.05862	-50.63364	249.567	1.969	34.112	256.839	0.004000	0.000828	0.014890	4.832780	0.268637	0.055586	0.92	0.1	A3_1_21
A3_1_100	2016-10-18T06:48:50	72.05864	-50.6336	99.645	1.982	33.927	329.489	0.544000	0.001580	0.108700	344.384662	5.004600	0.014532	5.2	0.8	A3_1_22
A3_1_10	2016-10-18T07:00:22	72.05862	-50.63364	4.355	2.23	33.922	335.322	0.938000	0.001750	0.147500	536.044109	6.359322	0.011863	8.07	1.29	A3_1_24
A3_2_250	2016-10-24T02:55:13	72.05532	-50.63428	249.596	1.91	34.079	270.867	0.006000	0.000609	0.014990	9.856846	0.400267	0.040608	1.28	0.24	A3_2_21
A3_2_100	2016-10-24T03:03:07	72.05461	-50.63494	99.866	2.057	33.922	332.346	0.704000	0.001687	0.149600	417.319222	4.705882	0.011276	8.14	1.27	A3_2_22
A3_2_10	2016-10-24T03:10:18	72.05312	-50.63527	19.048	2.055	33.922	333.01	0.845000	0.001784	0.147000	473.714188	5.748299	0.012135	7.95	1.25	A3_2_24
KERFIX_250	2016-10-18T23:07:20	68.37746	-50.68273	250.106	2.088	33.988	295.017	0.011000	0.000626	0.016000	17.581687	0.687500	0.039103	0.78	0.09	KERFIX_21
KERFIX_100	2016-10-18T23:15:23	68.37744	-50.68274	99.857	2.29	33.912	324.136	0.278000	0.001249	0.074320	222.493447	3.740581	0.016812	3.21	0.37	KERFIX_22
