Class	Species	Biovolume (µm3)	O22_21	O22_22	O22_24	O23_21	O23_22	O23_24	O24_21	O24_22	O24_24	O25_21	O25_22	O25_24	O12_21	O12_10	O12_12	TNS06_21	TNS06_22	TNS06_24	TNS08_21	TNS08_22	TNS08_24	A3_1_21	A3_1_22	A3_1_24	A3_2_21	A3_2_22	A3_2_24	KERFIX_21	KERFIX_22	KERFIX_24	FS_21	FS_22	FS_24	O11_21	O11_22	O11_24	SI_21	SI_22	SI_24	TB1
Class	Species	Biovolume (µm3)	1	1	1	1	0.5	0.5	1	1	0.2	1	0.5	0.2	1	1	1	1	0.5	0.1	1	0.5	0.15	1	0.1	0.1	1	0.1	0.1	1	0.5	0.25	1	1	1	1	0.5	0.5	1	0.5	0.5	1
1	Actinocyclus curvatulus	146156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	3	0
1	Asteromphalus hyalinus	5892	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	23	0	0	2	2	0	0	10	1	0	0	0	0	0	3	0	1	3	0	0	5	5	0
1	Asteromphalus hookeri	107197	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	3	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Azpeitia tabularis	66474	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Bacteriastrum elongatum	1021	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Banquisia belgicae	34980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	1	3	0	1	2	0	0	0	0	12	0	0	10	3	0	2	3	0
1	Chaetoceros atlanticus	1596	0	0	0	0	0	0	0	0	0	0	0	19	1	0	0	2	7	5	0	10	13	0	3	3	9	3	8	3	66	18	2	31	76	3	75	67	0	18	31	9
1	Chaetoceros concavicornis	6011	0	0	0	0	0	13	0	0	5	2	0	14	0	0	0	0	1	0	0	0	4	0	2	2	0	2	2	0	6	2	0	0	10	0	6	5	0	0	0	5
1	Chaetoceros criophilus	17693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	8	0	0	3	1	0	2	2	2
1	Chaetoceros curvicetus	585	0	0	0	0	0	0	0	0	0	0	42	52	0	0	0	0	0	0	0	37	152	0	489	799	15	469	605	0	0	0	0	3	176	0	11	22	0	108	33	0
1	Chaetoceros decipiens	19242	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	4	0	8	4	0	8	22	0	0	0	0	0	0	0	0	0	0	0	1	0
1	Chaetoceros dichaeta	4712	0	0	0	0	1	19	0	0	4	0	9	8	0	0	0	10	0	0	0	0	0	0	1	2	0	7	3	0	0	7	0	16	36	5	5	22	0	18	3	0
1	Chaetoceros Hyalochate (subgenus)	512	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	0	0	0	0	0	0	0	0	0	0
1	Chaetoceros peruvianus	4084	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Chaetoceros radicans	1021	0	0	0	0	0	0	0	0	0	426	1010	648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Chaetoceros similis	3580	0	0	0	0	0	0	0	0	0	38	47	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
