Station,Bottle,Description,Beads/mL,Proc/mL,Proc_FSC,Proc_SSC,Proc_Chl,Syn/mL,Syn_FSC,Syn_SSC,Syn_PE,Syn_Chl,Pico/mL,Pico_FSC,Pico_SSC,Pico_Chl,Nano/mL,Nano_FSC,Nano_SSC,Nano_Chl,Total Euk/mL,...23,Bact/mL,Bact_FSC,Bact_SSC,Bact_DNA,LowBact/mL,HighBact/mL,...30,LowVirus/mL,HighVirus/mL,Total Virus/mL,cruise,cast,bottle,type,month,day,year,latitude,longitude,pressure,temp,salinity,ctdfchl,ctdtrns,ctdoxy,potemp,potdens,oxyraw,winkler,sn_label,si_oh4_µ_m,no2_µ_m,po4_µ_m,no2_3_µ_m,no3_µ_m,hplc_label,chlorophyll_c3,chlorophyll_c1_c2,chlorophyllid_a,peridinin,phaeophorbid_a,x19_butanoyloxyfucoxanthin,fucoxanthin,neoxanthin,prasinoxanthin,violaxanthin,x19_hexanoyloxyfucoxanthin,diadinoxanthin,antheraxanthin,alloxanthin,diatoxanthin,zeaxanthin,lutein,bacteriochlorophyll_a,divinyl_chlorophyll_b,chlorophyll_b,t_chlb,divinyl_chlorophyll_a,chlorophyll_a,total_chlorophyll_a,phaeophytin_a,sum_carotenes,poc_2_7l,pic_2_7l,coccos_vol,microlugol,rema_id,dep_n_59,dep_med_60,dep_75ms25_61,tem_n_62,tem_med_63,tem_75ms25_64,sal_n_65,sal_med_66,sal_75ms25_67,chl_n_68,chl_med_69,chl_75ms25_70,chl_slp_71,chl_drk_72,cdm_n_73,cdm_med_74,cdm_75ms25_75,cdm_slp_76,cdm_drk_77,bbp_n_78,bbp_med_79,bbp_75ms25_80,bbp_slp_81,bbp_drk_82,float_id_83,dep_n_84,dep_med_85,dep_75ms25_86,tem_n_87,tem_med_88,tem_75ms25_89,sal_n_90,sal_med_91,sal_75ms25_92,oxy_n_93,oxy_med_94,oxy_75ms25_95,chl_n_96,chl_med_97,chl_75ms25_98,chl_slp_99,chl_drk_100,cdm_n_101,cdm_med_102,cdm_75ms25_103,cdm_slp_104,cdm_drk_105,bbp_n_106,bbp_med_107,bbp_75ms25_108,bbp_slp_109,bbp_drk_110,nit_n_111,nit_med_112,nit_75ms25_113,float_id_114,dep_n_115,dep_med_116,dep_75ms25_117,tem_n_118,tem_med_119,tem_75ms25_120,sal_n_121,sal_med_122,sal_75ms25_123,oxy_n_124,oxy_med_125,oxy_75ms25_126,chl_n_127,chl_med_128,chl_75ms25_129,chl_slp_130,chl_drk_131,cdm_n_132,cdm_med_133,cdm_75ms25_134,cdm_slp_135,cdm_drk_136,bbp_n_137,bbp_med_138,bbp_75ms25_139,bbp_slp_140,bbp_drk_141,nit_n_142,nit_med_143,nit_75ms25_144,station
2,4,P0_002_04,7739.273927392739,346.53465346534654,1.165,0.24,3.257,2135.313531353135,1.167,0.227,4.234,12.086,194.7194719471947,1.402,0.493,22.667,33.00330033003301,13.571,7.638,160.412,227.7227722772277,NA,276607.8431372549,1.396,0.059,0.328,0.532803180914513,0.4671968190854871,NA,2516470.588235294,354313.7254901961,2870784.31372549,PERLE0,2,4,PHYTOFLOAT,6,8,2018,41.8307,10.7518,81.095,14.3789,38.6641,0.0963,98.5829,206.611,14.3666,28.9418,2.2153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P0_002_04 (1.5L),P0_001_04,4064,65,80.533,0.228,65,14.376,0.001,65,38.662,0,65,68,2.5,0.0072,44,65,16,2,0.0903,38,65,98,1.5,1.66e-6,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,002
2,6,P0_002_06,42478.54785478548,NA,NA,NA,NA,15046.204620462046,1.206,0.233,0.303,1.017,125.41254125412541,2.707,0.686,4.963,181.5181518151815,19.282,6.428,50.605,306.9306930693069,NA,430294.1176470588,1.008,0.088,0.34,0.2984894259818731,0.7015105740181269,NA,3285098.0392156863,631176.4705882353,3916274.5098039214,PERLE0,2,6,PHYTOFLOAT,6,8,2018,41.8307,10.7518,65.885,14.3437,38.6024,0.4868,96.7971,224.73,14.3338,28.9013,2.3686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P0_002_06 (2L),P0_001_06,4064,63,65.783,0.249,63,14.346,0.001,63,38.603,0.002,63,159,4.5,0.0072,44,63,15,2,0.0903,38,63,140,2.5,1.66e-6,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,002
2,12,P0_002_12,38429.04290429043,21531.353135313533,1.198,0.19,2.082,54884.48844884489,1.394,0.217,2.706,7.899,1227.7227722772277,2.178,0.47,16.442,435.64356435643566,8.607,3.522,93.745,1663.3663366336634,NA,753843.1372549019,1.117,0.056,0.315,0.4767862107311649,0.5232137892688351,NA,6618431.37254902,1555098.0392156863,8173529.411764706,PERLE0,2,12,PHYTOFLOAT,6,8,2018,41.8307,10.7518,5.329,22.4463,38.3731,0.0735,96.2997,228.678,22.4452,26.6557,2.7246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P0_002_12 (1L),P0_001_12,4064,18,5.498,0.237,18,22.439,0.021,18,38.373,0.002,18,43,1,0.0072,44,18,3,3.5,0.0903,38,18,146,3,1.66e-6,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,002
7,5,P0_007_05,27485.148514851484,108495.0495049505,1.167,0.195,2.046,577.5577557755776,1.243,0.264,3.761,10.936,227.72277227722773,2.355,0.512,17.39,353.1353135313531,7.274,2.781,72.165,580.8580858085809,NA,391480.39215686277,1.165,0.059,0.319,0.5068829891838742,0.49311701081612586,NA,4116862.745098039,1323725.4901960783,5440588.235294118,PERLE0,7,5,PHYTOFLOAT,6,14,2018,34.3987,26.0002,101.054,15.6304,39.1127,0.3368,97.767,218.181,15.6142,29.0056,2.3593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P0_007_05 (4L),P0_007_05,4064,54,100.725,0.215,54,15.635,0.012,54,39.112,0.002,54,148,2.5,0.0072,44,54,4,2,0.0903,38,54,118,2,1.66e-6,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,007
7,7,P0_007_07,25254.125412541252,120693.06930693069,1.129,0.132,1.066,5429.042904290429,1.539,0.27,2.718,7.703,NA,NA,NA,NA,498.34983498349834,8.442,2.753,59.133,498.34983498349834,NA,500225.49019607843,0.973,0.069,0.324,0.5287726358148893,0.47122736418511063,NA,4835490.196078432,2027450.9803921569,6862941.176470589,PERLE0,7,7,PHYTOFLOAT,6,14,2018,34.3987,26.0002,84.877,16.0481,39.1548,0.4617,96.6941,231.369,16.0342,28.9396,2.4909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P0_007_07 (4L),P0_007_07,4064,61,85.073,0.153,61,16.042,0.004,61,39.154,0.001,61,162,6,0.0072,44,61,4,2,0.0903,38,61,127,3.5,1.66e-6,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,007
7,11,P0_007_11,10026.402640264027,NA,NA,NA,NA,4716.171617161716,1.353,0.249,0.193,0.769,89.10891089108911,2.55,0.469,3.843,66.00660066006601,16.289,3.675,32.685,155.11551155115512,NA,352107.8431372549,1.167,0.097,0.36,0.4513444302176696,0.5486555697823303,NA,2380980.3921568627,457647.0588235294,2838627.4509803923,PERLE0,7,11,PHYTOFLOAT,6,14,2018,34.3987,26.0002,5.877,24.7721,39.5299,-0.0894,98.0754,214.427,24.7708,26.8401,2.6902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P0_007_11 (4L),P0_007_11,4064,39,5.755,0.148,39,24.77,0.012,39,39.529,0.003,39,24,1.5,0.0072,44,39,-7,4,0.0903,38,39,94,1.5,1.66e-6,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,007
8,5,P0_008_05,24986.79867986799,31046.204620462046,1.196,0.298,2.958,NA,0.614,0.282,5.036,13.598,NA,NA,NA,NA,353.1353135313531,3.943,1.112,52.058,353.1353135313531,NA,213049.01960784313,1.177,0.06,0.34,0.5761061946902655,0.42389380530973453,NA,2250392.156862745,443529.4117647059,2693921.568627451,PERLE0,8,5,PHYTODEEP,6,18,2018,34.6002,23.2988,121.797,15.6976,39.0634,0.0911,98.8186,214.697,15.678,28.9527,2.3267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P0_008_05 (4L),P0_008_05,4064,31,121.441,0.275,31,15.698,0.003,31,39.063,0,31,74,1.5,0.0072,44,31,8,2,0.0903,38,31,97,2.5,1.66e-6,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,008
8,7,P0_008_07,26326.797385620914,52202.61437908497,1.097,0.168,1.346,5300.653594771242,1.437,0.291,3.556,9.615,NA,NA,NA,NA,313.72549019607845,26.182,6.94,99.777,313.72549019607845,NA,443490.1960784314,1.069,0.066,0.326,0.49691358024691357,0.5030864197530864,NA,3420000,699019.6078431372,4119019.6078431373,PERLE0,8,7,PHYTODEEP,6,18,2018,34.6002,23.2988,100.065,16.0297,39.1028,0.3568,97.57,230.717,16.0134,28.9045,2.4812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P0_008_07 (4L),P0_008_07,4064,63,100.266,0.211,63,16.026,0.002,63,39.103,0,63,119,12.5,0.0072,44,63,4,2,0.0903,38,63,129,3.5,1.66e-6,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,008
8,12,P0_008_12,25405.228758169935,NA,NA,NA,NA,2849.673202614379,1.801,2.607,3.943,3.712,65.359477124183,3.412,0.649,4.004,65.359477124183,24.903,2.765,28.628,130.718954248366,NA,198186.27450980392,1.102,0.1,0.356,0.3687031082529475,0.6312968917470525,NA,1816862.7450980393,361176.4705882353,2178039.2156862747,PERLE0,8,12,PHYTODEEP,6,18,2018,34.6002,23.2988,10.537,23.5805,39.1051,-0.1081,98.1715,215.171,23.5783,26.8796,2.6492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P0_008_12 (4L),P0_008_12,4064,53,10.209,0.141,53,23.58,0.013,53,39.104,0.002,53,29,1,0.0072,44,53,-6,3.5,0.0903,38,53,93,1.5,1.66e-6,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,008
9,5,P0_009_05,24888.88888888889,40875.816993464054,1.102,0.216,2.067,444.44444444444446,2.403,0.282,3.788,11.499,78.43137254901961,2.978,0.663,16.589,183.00653594771242,10.479,2.932,70.412,261.437908496732,NA,291725.49019607843,1.368,0.067,0.336,0.5771230502599654,0.42287694974003465,NA,2959019.6078431373,759607.8431372549,3718627.4509803923,PERLE0,9,5,PHYTODEEP,6,19,2018,36.701,20.501,111.036,15.8516,38.9946,0.1557,98.6651,228.549,15.8336,28.8633,2.4526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P0_009_05 (4L),P0_009_05,4064,49,110.844,0.245,49,15.853,0.007,49,38.995,0.001,49,75,2.5,0.0072,44,49,-4,1.5,0.0903,38,49,96,2,1.66e-6,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,009
