Cruise,CTD,Bottle,Replicat,Sample,Description,rate,Beads/mL,Proc/mL,Proc_SSC,Proc_Chl,Syn/mL,Syn_SSC,Syn_PE,Syn_Chl,Pico/mL,Pico_SSC,Pico_Chl,Nano/mL,Nano_SSC,Nano_Chl,Total Euk/mL,Bact/mL Corrected,Bact_SSC,Bact_FL1,code,cruise,cast,bottle,type,month,day,year,latitude,longitude,pressure,temp,salinity,ctdfchl,ctdtrns,ctdoxy,potemp,potdens,oxyraw,winkler,sn,hplc_2_3l,poc_2_7l,pic_2_7l,coccos_vol,microlugol,rema_id,dep_n_28,dep_med_29,dep_75ms25_30,tem_n_31,tem_med_32,tem_75ms25_33,sal_n_34,sal_med_35,sal_75ms25_36,chl_n_37,chl_med_38,chl_75ms25_39,chl_slp_40,cdm_n_41,cdm_med_42,cdm_75ms25_43,chl_drk_44,cdm_slp_45,cdm_drk_46,bbp_n_47,bbp_med_48,bbp_75ms25_49,bbp_slp_50,bbp_drk_51,float_id_52,dep_n_53,dep_med_54,dep_75ms25_55,tem_n_56,tem_med_57,tem_75ms25_58,sal_n_59,sal_med_60,sal_75ms25_61,oxy_n_62,oxy_med_63,oxy_75ms25_64,chl_n_65,chl_med_66,chl_75ms25_67,chl_slp_68,chl_drk_69,cdm_n_70,cdm_med_71,cdm_75ms25_72,cdm_slp_73,cdm_drk_74,bbp_n_75,bbp_med_76,bbp_75ms25_77,bbp_slp_78,bbp_drk_79,nit_n_80,nit_med_81,nit_75ms25_82,float_id_83,dep_n_84,dep_med_85,dep_75ms25_86,tem_n_87,tem_med_88,tem_75ms25_89,sal_n_90,sal_med_91,sal_75ms25_92,oxy_n_93,oxy_med_94,oxy_75ms25_95,chl_n_96,chl_med_97,chl_75ms25_98,chl_slp_99,chl_drk_100,cdm_n_101,cdm_med_102,cdm_75ms25_103,cdm_slp_104,cdm_drk_105,bbp_n_106,bbp_med_107,bbp_75ms25_108,bbp_slp_109,bbp_drk_110,nit_n_111,nit_med_112,nit_75ms25_113,float_id_114,dep_n_115,dep_med_116,dep_75ms25_117,tem_n_118,tem_med_119,tem_75ms25_120,sal_n_121,sal_med_122,sal_75ms25_123,oxy_n_124,oxy_med_125,oxy_75ms25_126,chl_n_127,chl_med_128,chl_75ms25_129,chl_slp_130,chl_drk_131,cdm_n_132,cdm_med_133,cdm_75ms25_134,cdm_slp_135,cdm_drk_136,bbp_n_137,bbp_med_138,bbp_75ms25_139,bbp_slp_140,bbp_drk_141,nit_n_142,nit_med_143,nit_75ms25_144,station
P1,6,7,A,1juillet2019_P1-6-7A.fcs,P1_006_07A,NA,8203.333333333334,16203.333333333334,0.069,2.122,1933.3333333333333,0.126,6.294,33.388,163.33333333333334,1.456,648.321,80,101.553,1248.657,243.33333333333334,241981.19047619047,0.012,0.141,P1_006_07,PERLE1,7,7,PHYTOFLOAT,10,11,2018,34.29342,26.51058,120.601,17.2206,38.988,0.0594,89.2888,223.125,17.2,28.5299,2.4432,NA,NA,NA,NA,NA,P1_006_07 (4L),P1_006_07,4982,104,120.501,0.048,104,17.222,0.013,104,38.989,0.016,104,48,0.5,0.0073,104,55,1,47,0.0903,47,104,50,0.5,2.104e-6,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06
P1,6,7,B,1juillet2019_P1-6-7B.fcs,P1_006_07B,NA,8813.333333333334,15683.333333333334,0.069,2.418,1956.6666666666667,0.127,6.781,36.324,126.66666666666667,1.748,625.958,56.666666666666664,99.013,1465.232,183.33333333333334,266554.76190476195,0.012,0.159,P1_006_07,PERLE1,7,7,PHYTOFLOAT,10,11,2018,34.29342,26.51058,120.601,17.2206,38.988,0.0594,89.2888,223.125,17.2,28.5299,2.4432,NA,NA,NA,NA,NA,P1_006_07 (4L),P1_006_07,4982,104,120.501,0.048,104,17.222,0.013,104,38.989,0.016,104,48,0.5,0.0073,104,55,1,47,0.0903,47,104,50,0.5,2.104e-6,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06
P1,6,11,A,1juillet2019_P1-6-11A.fcs,P1_006_11A,NA,8813.333333333334,44510,0.03,0.433,12983.333333333334,0.087,2.273,12.134,336.6666666666667,1.588,273.731,330,39.184,707.469,666.6666666666667,341174.5238095238,0.012,0.141,P1_006_11,PERLE1,7,11,PHYTOFLOAT,10,11,2018,34.29316,26.51082,90.54,20.0898,39.1014,0.1124,88.7381,227.274,20.0727,27.8743,2.6028,NA,NA,NA,NA,NA,P1_006_11 (2.4L),P1_006_11,4982,107,90.508,0.047,107,19.972,0.017,107,39.101,0.008,107,48,0.5,0.0073,107,54,0.5,47,0.0903,47,107,50,0.5,2.104e-6,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06
P1,6,11,B,1juillet2019_P1-6-11B.fcs,P1_006_11B,NA,8746.666666666666,46590,0.028,0.412,13083.333333333334,0.088,2.157,12.08,143.33333333333334,1.827,136.208,583.3333333333334,23.328,291.994,726.6666666666667,339457.61904761905,0.012,0.137,P1_006_11,PERLE1,7,11,PHYTOFLOAT,10,11,2018,34.29316,26.51082,90.54,20.0898,39.1014,0.1124,88.7381,227.274,20.0727,27.8743,2.6028,NA,NA,NA,NA,NA,P1_006_11 (2.4L),P1_006_11,4982,107,90.508,0.047,107,19.972,0.017,107,39.101,0.008,107,48,0.5,0.0073,107,54,0.5,47,0.0903,47,107,50,0.5,2.104e-6,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06
P1,6,21,A,1juillet2019_P1-6-21A_Rate100.fcs,P1_006_21A,100,9070,NA,NA,NA,15103.333333333334,0.08,0.194,0.992,500,1.989,66.091,196.66666666666666,98.66,212.046,696.6666666666666,323688.3333333334,0.016,0.135,P1_006_21,PERLE1,7,21,PHYTOFLOAT,10,11,2018,34.29314,26.51054,5.149,25.2527,39.6863,0.0416,88.446,186.007,25.2516,26.8096,2.4328,NA,NA,NA,NA,NA,P1_006_21 (4L),P1_006_21,4982,292,4.937,0.062,292,25.271,0,292,39.681,0.005,292,48,0.5,0.0073,292,52,1,47,0.0903,47,292,50,0.5,2.104e-6,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06
P1,6,21,B,1juillet2019_P1-6-21B.fcs,P1_006_21B,NA,9230,NA,NA,NA,16143.333333333334,0.085,0.192,0.972,623.3333333333334,2.428,56.794,190,59.831,264.514,813.3333333333334,320184.04761904763,0.016,0.124,P1_006_21,PERLE1,7,21,PHYTOFLOAT,10,11,2018,34.29314,26.51054,5.149,25.2527,39.6863,0.0416,88.446,186.007,25.2516,26.8096,2.4328,NA,NA,NA,NA,NA,P1_006_21 (4L),P1_006_21,4982,292,4.937,0.062,292,25.271,0,292,39.681,0.005,292,48,0.5,0.0073,292,52,1,47,0.0903,47,292,50,0.5,2.104e-6,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06
P1,13,6,A,4juillet2019_P1-13-6A.fcs,P1_013_06A,NA,8142.857142857143,9852.380952380952,0.14,5.619,-,0.088,1.521,9.799,290.4761904761905,1.122,589.448,47.61904761904762,18.289,1661.845,338.0952380952381,112871.42857142857,0.012,0.18,P1_013_06,PERLE1,13,6,PHYTOFLOAT,10,12,2018,33.32078,26.48978,140.521,16.4405,39.1634,0.0528,89.4933,213.111,16.4172,28.8551,2.3391,NA,NA,NA,NA,NA,P1_013_06 (4L),P1_013_06,4982,92,140.392,0.187,92,16.442,0.011,92,39.161,0.001,92,48,0.5,0.0073,92,57,0.5,47,0.0903,47,92,50,0,2.104e-6,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
P1,13,6,B,4juillet2019_P1-13-6B.fcs,P1_013_06B,NA,8171.428571428572,9885.714285714286,0.142,6.275,-,0.079,0.036,3.16,280.95238095238096,1.001,578.233,52.38095238095238,25.483,1529.022,333.33333333333337,113042.85714285714,0.011,0.178,P1_013_06,PERLE1,13,6,PHYTOFLOAT,10,12,2018,33.32078,26.48978,140.521,16.4405,39.1634,0.0528,89.4933,213.111,16.4172,28.8551,2.3391,NA,NA,NA,NA,NA,P1_013_06 (4L),P1_013_06,4982,92,140.392,0.187,92,16.442,0.011,92,39.161,0.001,92,48,0.5,0.0073,92,57,0.5,47,0.0903,47,92,50,0,2.104e-6,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
P1,13,10,A,4juillet2019_P1-13-10A.fcs,P1_013_10A,NA,8309.52380952381,18280.95238095238,0.054,1.857,4004.7619047619046,0.111,3.773,26.449,266.6666666666667,1.962,772.905,119.04761904761905,19.611,1614.189,385.7142857142857,153842.85714285713,0.012,0.155,P1_013_10,PERLE1,13,10,PHYTOFLOAT,10,12,2018,33.32078,26.49042,90.316,17.2547,39.1588,0.0879,89.1284,232.098,17.2393,28.6515,2.5462,NA,NA,NA,NA,NA,P1_013_10 (4L),P1_013_10,4982,88,90.34,0.19,88,17.254,0.003,88,39.156,0,88,48,0.5,0.0073,88,56,1,47,0.0903,47,88,50,0.5,2.104e-6,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
P1,13,10,B,4juillet2019_P1-13-10B.fcs,P1_013_10B,NA,8771.42857142857,19642.85714285714,0.053,1.893,3919.0476190476193,0.108,4.115,28.025,252.38095238095238,2.042,755.016,128.57142857142858,12.633,1710.126,380.95238095238096,175142.85714285713,0.012,0.15,P1_013_10,PERLE1,13,10,PHYTOFLOAT,10,12,2018,33.32078,26.49042,90.316,17.2547,39.1588,0.0879,89.1284,232.098,17.2393,28.6515,2.5462,NA,NA,NA,NA,NA,P1_013_10 (4L),P1_013_10,4982,88,90.34,0.19,88,17.254,0.003,88,39.156,0,88,48,0.5,0.0073,88,56,1,47,0.0903,47,88,50,0.5,2.104e-6,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
