Cruise,CTD,Bottle,Description,Beads/mL,Proc/mL,Proc_SSC,Proc_Chl,Syn/mL,Syn_SSC,Syn_PE,Syn_Chl,Pico/mL,Pico_SSC,Pico_Chl,Nano/mL,Nano_SSC,Nano_Chl,Total Euk/mL,Bact/mL Corrected,Bact_FSC,Bact_SSC,Bact_Green,cruise,cast,bottle,type,month,day,year,latitude,longitude,pressure,temp,salinity,ctdfchl,ctdtrns,ctdoxy,potemp,potdens,hplc_2_3l,hplc_color,poc_2_7l,pic_2_7l,coccos_vol,microlugol,rema_id,dep_n,dep_med,dep_75ms25,tem_n,tem_med,tem_75ms25,sal_n,sal_med,sal_75ms25,chl_n,chl_med,chl_75ms25,chl_drk,chl_slp,cdm_n,cdm_med,cdm_75ms25,cdm_drk,cdm_slp,bbp_n,bbp_med,bbp_75ms25,bbp_drk,bbp_slp,station
Perle2,0,3,P2_000_03,5516.853932584269,404.4943820224719,0.15,8.811,134.8314606741573,0.088,2.48,15.862,NA,NA,NA,41.19850187265918,1.305,971.934,41.19850187265918,142516.85393258426,0.066,0.012,0.249,PERLE2,0,3,PHYTOFLOAT,2,25,2019,37.0035,19.000833333333333,200.833,15.5044,38.9738,0.0083,89.7888,209.639,15.4723,28.9313,NA,NA,P2_000_03,P2_000_03,P2_000_03 (4L),P2_000_03,4064,88,200.364,0.286,88,15.498,0.005,88,38.976,0.001,88,45,1,0.0072,44,88,45,1,0.0903,38,88,96,1.5,1.66e-6,46,00
Perle2,0,3,P2_000_03,7573.643410852713,311.1111111111111,0.143,6.032,178.29457364341084,0.211,2.543,15.773,NA,NA,NA,NA,NA,NA,NA,140953.59477124183,0.121,0.016,0.296,PERLE2,0,3,PHYTOFLOAT,2,25,2019,37.0035,19.000833333333333,200.833,15.5044,38.9738,0.0083,89.7888,209.639,15.4723,28.9313,NA,NA,P2_000_03,P2_000_03,P2_000_03 (4L),P2_000_03,4064,88,200.364,0.286,88,15.498,0.005,88,38.976,0.001,88,45,1,0.0072,44,88,45,1,0.0903,38,88,96,1.5,1.66e-6,46,00
Perle2,0,9,P2_000_09,5109.704641350211,21189.87341772152,0.026,0.444,17324.894514767933,0.063,3.492,18.306,1033.7552742616033,0.466,164.66,362.8691983122363,26.618,1561.549,1396.6244725738395,381175.2059473578,0.128,0.012,0.205,PERLE2,0,10,PHYTOFLOAT,2,25,2019,37.0035,19.000833333333333,89.057,14.7526,38.5835,0.0977,88.7762,243.18,14.7389,28.7967,NA,NA,P2_000_09,P2_000_09,P2_000_09 (4L),P2_000_09,4064,109,89.654,0.277,109,14.753,0,109,38.583,0,109,92,2,0.0072,44,109,44,1,0.0903,38,109,136,2.5,1.66e-6,46,00
Perle2,0,9,P2_000_09,7559.259259259259,19150,0.027,0.452,19574.074074074073,0.064,3.244,18.016,903.7037037037037,0.42,111.145,377.77777777777777,5.979,1722.446,1281.4814814814815,391655.8823529412,0.136,0.012,0.205,PERLE2,0,10,PHYTOFLOAT,2,25,2019,37.0035,19.000833333333333,89.057,14.7526,38.5835,0.0977,88.7762,243.18,14.7389,28.7967,NA,NA,P2_000_09,P2_000_09,P2_000_09 (4L),P2_000_09,4064,109,89.654,0.277,109,14.753,0,109,38.583,0,109,92,2,0.0072,44,109,44,1,0.0903,38,109,136,2.5,1.66e-6,46,00
Perle2,0,18,P2_000_18,5012.658227848101,15230.15873015873,0.026,0.293,17270.042194092828,0.065,3.246,15.407,649.789029535865,0.6,193.968,329.11392405063293,25.886,1691.688,978.9029535864979,343484.126984127,0.17,0.012,0.197,PERLE2,0,17,PHYTOFLOAT,2,25,2019,37.0035,19.000833333333333,3.708,14.8403,38.5545,0.0499,88.5737,244.279,14.8397,28.7517,P2_000_17,VIOLET,P2_000_19,P2_000_19,P2_000_19 (4L),P2_000_18,4064,124,3.322,0.245,124,14.844,0.001,124,38.553,0,124,59,1.5,0.0072,44,124,44,5,0.0903,38,124,135,3,1.66e-6,46,00
Perle2,0,18,P2_000_18,8033.333333333333,14344.444444444445,0.027,0.308,18940.74074074074,0.065,3.32,15.805,400,0.391,97.514,459.25925925925924,5.816,1467.595,859.2592592592592,360614.3790849673,0.136,0.013,0.212,PERLE2,0,17,PHYTOFLOAT,2,25,2019,37.0035,19.000833333333333,3.708,14.8403,38.5545,0.0499,88.5737,244.279,14.8397,28.7517,P2_000_17,VIOLET,P2_000_19,P2_000_19,P2_000_19 (4L),P2_000_18,4064,124,3.322,0.245,124,14.844,0.001,124,38.553,0,124,59,1.5,0.0072,44,124,44,5,0.0903,38,124,135,3,1.66e-6,46,00
Perle2,3,7,P2_003_07,7444.444444444444,6727.777777777777,0.032,0.583,5351.851851851852,0.062,2.211,13.548,1374.0740740740741,0.306,69.92,229.62962962962962,8.566,1356.351,1603.7037037037037,320483.9869281046,0.161,0.012,0.212,PERLE2,3,6,PHYTOFLOAT,2,27,2019,35.85483333333333,25.296166666666668,169.408,15.783,39.2126,0.0684,88.8931,229.255,15.7556,29.0498,NA,NA,P2_003_06,P2_003_06,P2_003_06 (4L),P2_003_07,4064,59,169.382,0.143,59,15.781,0.001,59,39.213,0,59,69,1.5,0.0072,44,59,43,1,0.0903,38,59,144,2.5,1.66e-6,46,03
Perle2,3,13,P2_003_13,6082.397003745318,9056.1797752809,0.037,0.693,7202.247191011236,0.067,2.847,14.61,2003.74531835206,0.356,78.841,782.7715355805243,7.87,733.169,2786.516853932584,338707.86516853934,0.075,0.011,0.182,PERLE2,3,14,PHYTOFLOAT,2,27,2019,35.85483333333333,25.296166666666668,90.59,15.9844,39.2389,0.1101,88.4749,231.247,15.9697,29.0197,NA,NA,P2_003_14,P2_003_14,P2_003_14 (3L),P2_003_13,4064,89,90.431,0.277,89,15.993,0.006,89,39.241,0.002,89,96,3,0.0072,44,89,42,0.5,0.0903,38,89,157,4.5,1.66e-6,46,03
Perle2,24,2,P2_024_02,5943.820224719101,445.6928838951311,0.047,1.365,483.14606741573033,0.078,2.532,18.005,131.08614232209737,0.544,245.608,NA,NA,NA,131.08614232209737,367846.44194756553,0.064,0.011,0.17,PERLE2,24,3,PHYTOFLOAT,3,2,2019,34.2405,23.664666666666665,199.752,15.4088,39.0677,0.013,89.6386,209.793,15.377,29.0258,P2_024_03,TRANSPARENT,P2_024_02,P2_024_02,P2_024_03 (4L),P2_024_02,4064,63,199.801,0.094,63,15.408,0.002,63,39.067,0,63,47,1,0.0072,44,63,44,0.5,0.0903,38,63,106,2.5,1.66e-6,46,24
Perle2,24,5,P2_024_05,5764.044943820225,17994.38202247191,0.033,0.615,17520.59925093633,0.074,3.352,16.296,419.4756554307116,0.619,220.974,273.4082397003745,18.618,1616.479,692.8838951310861,381455.0561797753,0.073,0.011,0.168,PERLE2,24,6,PHYTOFLOAT,3,2,2019,34.2405,23.664666666666665,74.173,15.6082,39.0511,0.0991,88.7165,235.098,15.5964,28.9623,P2_024_06,TRANSPARENT,P2_024_05,P2_024_05,P2_024_06 (3L),P2_024_05,4064,52,74.473,0.121,52,15.608,0,52,39.051,0,52,89,2,0.0072,44,52,42,1,0.0903,38,52,141,3.5,1.66e-6,46,24
